127.0.0.1 - - [05/Dec/2024:20:18:06 +0100] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [05/Dec/2024:20:18:09 +0100] "GET /RidesJSF/faces/Main.xhtml HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [05/Dec/2024:20:18:09 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [05/Dec/2024:20:18:11 +0100] "POST /RidesJSF/faces/Main.xhtml;jsessionid=656B45AC363C7A5BF1E9FC3E3FA335DD HTTP/1.1" 200 6731
0:0:0:0:0:0:0:1 - - [05/Dec/2024:20:18:14 +0100] "POST /RidesJSF/faces/CreateRide.xhtml HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [05/Dec/2024:20:18:17 +0100] "POST /RidesJSF/faces/CreateRide.xhtml HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [05/Dec/2024:20:18:18 +0100] "POST /RidesJSF/faces/CreateRide.xhtml HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [05/Dec/2024:20:18:21 +0100] "POST /RidesJSF/faces/CreateRide.xhtml HTTP/1.1" 200 2500
0:0:0:0:0:0:0:1 - - [05/Dec/2024:20:18:22 +0100] "POST /RidesJSF/faces/CreateRide.xhtml HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [05/Dec/2024:20:18:25 +0100] "POST /RidesJSF/faces/CreateRide.xhtml HTTP/1.1" 200 7725
0:0:0:0:0:0:0:1 - - [05/Dec/2024:20:18:31 +0100] "POST /RidesJSF/faces/CreateRide.xhtml HTTP/1.1" 200 1596
0:0:0:0:0:0:0:1 - - [05/Dec/2024:20:18:34 +0100] "POST /RidesJSF/faces/Main.xhtml HTTP/1.1" 200 6634
0:0:0:0:0:0:0:1 - - [05/Dec/2024:20:18:37 +0100] "POST /RidesJSF/faces/QueryRides.xhtml HTTP/1.1" 200 3798
0:0:0:0:0:0:0:1 - - [05/Dec/2024:20:18:38 +0100] "POST /RidesJSF/faces/QueryRides.xhtml HTTP/1.1" 200 3371
0:0:0:0:0:0:0:1 - - [05/Dec/2024:20:18:40 +0100] "POST /RidesJSF/faces/QueryRides.xhtml HTTP/1.1" 200 7195
0:0:0:0:0:0:0:1 - - [05/Dec/2024:20:18:45 +0100] "POST /RidesJSF/faces/QueryRides.xhtml HTTP/1.1" 200 7263
0:0:0:0:0:0:0:1 - - [05/Dec/2024:20:18:54 +0100] "POST /RidesJSF/faces/QueryRides.xhtml HTTP/1.1" 200 7195
0:0:0:0:0:0:0:1 - - [05/Dec/2024:20:18:56 +0100] "POST /RidesJSF/faces/QueryRides.xhtml HTTP/1.1" 200 1596
